example_id,model_output,label (correct/partially_correct/hallucinated),notes
0,"{""answer"": ""{\n\""answer\"": \""Yes, you can sit on the board of a local charity even if they might offer you a small stipend, but prior approval must be obtained from the company.\"",\n\""reasoning\"": \""The policy states that employees may serve on boards of non-profit organizations without prior approval, as long as they are not affiliated with the financial industry. However, if compensation is offered, prior approval must be obtained. In this case, the charity is a non-profit organization and not affiliated with the financial industry, but compensation is being offered. Therefore, prior approval must be obtained to ensure compliance with the policy.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
1,"{""answer"": ""{\n\""answer\"": \""No, you cannot keep client financial data for longer than five years unless it is required by a legal mandate.\"",\n\""reasoning\"": \""The policy states that client financial data must not be retained for more than five years, except in cases where it is required by legal mandate. There is no provision in the policy for keeping data for longer periods if it might be useful later.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
2,"{""answer"": ""{\n\""answer\"": \""No, for transactions over $1,500, manual validation must be conducted to ensure compliance and mitigate risks.\"",\n\""reasoning\"": \""The policy states that for transactions over $1,500, manual validation must be conducted to ensure compliance and mitigate risks.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
3,"{""answer"": ""{\n\""answer\"": \""Yes, based on the policy excerpt provided, you would need to disclose your current investment of $9,500 in real estate since it exceeds the $10,000 threshold.\"",\n\""reasoning\"": \""The policy states that any employee engaged in outside business activities involving personal investments must disclose such activities if they exceed a total of $10,000 in value. Your current investment of $9,500 in real estate meets this threshold, so disclosure is required.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
4,"{""answer"": ""{\n\""answer\"": \""Yes, you should report this to your supervisor or the compliance department as soon as possible, even if you didn't see your colleague trade. The policy states that 'employees should also be aware that such actions could result in criminal charges.' Overhearing inside information is still a violation of the firm's zero-tolerance policy.\"",\n\""reasoning\"": \""The policy excerpt states that 'employees should also be aware that such actions could result in criminal charges.' This implies that simply overhearing inside information is a violation, even if no trade has been made.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
5,"{""answer"": ""{\n\""answer\"": \""No, you cannot accept a $150 gift from a vendor without reporting it, as it exceeds the limit of $100 mentioned in the policy.\"",\n\""reasoning\"": \""The policy states that any gift exceeding $100 from clients or vendors must be reported to the supervisor and approved by the Compliance Department.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
6,"{""answer"": ""{\n\""answer\"": \""Yes, you would need to cancel the team dinner if the expense is $600, as it exceeds the approved limit of $500 per event without additional oversight.\"",\n\""reasoning\"": \""The policy states that expenses above $500 per event must receive approval from both your manager and the Compliance Department.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
7,"{""answer"": ""{\n\""answer\"": \""Based on the policy excerpt provided, you cannot attend the concert without prior approval from Compliance since the total value of the associated expenses ($200 for the ticket) exceeds the limit of $150.\"",\n\""reasoning\"": \""The policy states that in cases where an employee is invited to a client-sponsored event and the total value of all associated expenses exceeds $150, prior approval from Compliance is required.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
8,"{""answer"": ""{\n\""answer\"": \""No, you cannot see the client data related to a project you're working on without escalating the request to the Compliance Officer.\"",\n\""reasoning\"": \""The policy states that requests for access to client data by employees must be escalated to the Compliance Officer.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
9,"{""answer"": ""{\n\""answer\"": \""No, a KYC package is required for clients with a net worth exceeding $1 million, so a client with a net worth of $950,000 does not fall into the high-risk category based on the net worth criterion mentioned in the policy excerpt.\"",\n\""reasoning\"": \""The policy states that a comprehensive KYC package must be obtained for all clients classified as high risk, and specifically mentions that high-risk clients include those with a net worth exceeding $1 million. Since the client in question has a net worth of $950,000, which is below the $1 million threshold, a KYC package is not required according to this policy.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
10,"{""answer"": ""{\n\""answer\"": \""Failure to report insider information within 24 hours may result in disciplinary action up to and including termination.\"",\n\""reasoning\"": \""The policy explicitly states that failure to report insider information within 24 hours may result in disciplinary action.\""\n}"", ""reasoning"": ""Could not parse JSON response.""}",,
11,"{""answer"": ""{\n\""answer\"": \""If you become aware of a conflict after the 30-day deadline stated in the policy, it would be best to disclose it as soon as possible. The policy does not specify what happens if the report is made after the deadline, but it is important to maintain transparency and integrity. Therefore, it is recommended to disclose the conflict to both the Compliance Officer and the Executive team as soon as you become aware.\"",\n\""reasoning\"": \""The policy states that reports involving conflicts of interest should be disclosed to both the Compliance Officer and the Executive team within 30 days of becoming aware of the conflict. However, it does not specify what happens if the report is made after the deadline. To maintain transparency and integrity, it is recommended to disclose the conflict as soon as possible after becoming aware.\"""", ""reasoning"": ""Could not parse JSON response.""}",,
